cycle_index,t_ms,pixel_width
-1,0.002,116
-1,18.181,120
-1,40.134,120
-1,58.766,120
-1,77.513,120
-1,96.390,120
-1,115.307,120
-1,133.360,120
-1,151.381,120
-1,170.035,125
-1,189.621,125
-1,208.223,125
-1,227.557,125
-1,250.226,125
-1,268.517,125
-1,288.692,125
-1,307.318,125
-1,328.038,125
-1,347.228,129
-1,366.397,129
-1,384.313,129
-1,402.703,129
-1,421.594,129
-1,440.737,129
-1,459.754,129
-1,478.595,129
-1,496.854,129
-1,515.400,133
-1,533.276,133
-1,552.272,133
-1,570.332,133
-1,589.434,133
-1,608.062,133
-1,626.878,133
-1,646.941,133
-1,666.240,133
-1,681.919,137
-1,702.300,137
-1,720.445,137
-1,739.474,137
-1,758.532,137
-1,777.515,137
-1,796.970,137
-1,816.006,137
-1,833.762,141
-1,852.171,141
-1,870.593,141
-1,889.365,141
-1,908.169,141
-1,927.442,141
-1,946.630,141
-1,965.639,141
-1,983.790,141
-1,1002.865,145
-1,1022.096,145
-1,1041.506,145
-1,1060.504,145
-1,1079.141,145
-1,1098.192,145
-1,1116.205,145
-1,1135.134,145
-1,1153.553,145
-1,1171.986,150
-1,1190.994,150
-1,1210.628,150
-1,1229.518,150
-1,1250.609,150
-1,1269.446,150
-1,1288.882,150
-1,1307.451,150
-1,1326.594,150
-1,1345.018,154
-1,1364.591,154
-1,1382.593,154
-1,1401.957,154
-1,1420.493,154
-1,1439.431,154
-1,1458.160,154
-1,1477.224,154
-1,1496.637,154
-1,1515.479,158
-1,1533.946,158
-1,1553.404,158
-1,1572.836,158
-1,1591.385,158
-1,1610.320,158
-1,1628.659,158
-1,1647.324,158
-1,1665.676,162
-1,1683.898,162
-1,1705.050,162
-1,1724.013,162
-1,1743.632,162
-1,1762.936,162
-1,1782.280,162
-1,1799.517,162
-1,1817.477,162
-1,1835.923,166
-1,1854.925,166
-1,1874.094,166
-1,1891.675,166
-1,1910.258,166
-1,1928.964,166
-1,1947.878,166
-1,1965.780,166
-1,1984.511,166
-1,2003.469,170
-1,2024.450,170
-1,2044.188,170
-1,2063.725,170
-1,2082.715,170
-1,2099.391,170
-1,2118.848,170
-1,2139.033,170
-1,2157.734,170
-1,2178.792,175
-1,2197.801,175
-1,2216.450,175
-1,2234.945,175
-1,2251.015,175
-1,2268.069,175
-1,2287.153,175
-1,2306.341,175
-1,2327.601,175
-1,2350.040,179
-1,2369.057,179
-1,2387.846,179
-1,2406.928,179
-1,2429.336,179
-1,2453.406,179
-1,2472.216,179
-1,2492.709,179
-1,2511.214,183
-1,2531.660,183
-1,2547.340,183
-1,2567.384,183
-1,2584.506,183
-1,2601.300,183
-1,2620.175,183
-1,2637.787,183
-1,2654.294,183
-1,2672.521,183
-1,2690.020,187
-1,2708.647,187
-1,2726.423,187
-1,2744.215,187
-1,2761.519,187
-1,2781.423,187
-1,2801.632,187
-1,2819.271,187
-1,2835.519,187
-1,2854.038,191
-1,2871.555,191
-1,2889.307,191
-1,2905.416,191
-1,2922.444,191
-1,2938.332,191
-1,2953.917,191
-1,2970.697,191
-1,2987.194,191
-1,3004.095,191
-1,3020.774,195
-1,3035.973,195
-1,3051.618,195
