cycle_index,duration_ms,n_samples,n_unique_widths,min_width,max_width,unique_widths
0,4997.635,699,29,0,175,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175
1,4998.495,688,29,0,175,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175
2,5001.742,698,29,0,175,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175
3,5000.999,712,29,0,175,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175
4,5162.425,718,30,0,180,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175 180
5,5001.383,705,30,0,180,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175 180
6,5003.014,719,30,0,180,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175 180
7,4993.653,721,30,0,180,0 6 13 19 25 31 38 44 50 56 63 69 75 81 87 94 100 106 112 119 125 131 137 144 150 156 162 169 175 180
