cycle_index,duration_ms,n_samples,n_unique_widths,min_width,max_width,unique_widths
0,4987.792,302,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
1,5007.570,313,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
2,4994.564,316,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
3,5010.683,320,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
4,4996.964,314,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
5,5000.411,316,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
6,5001.383,322,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
7,4998.370,320,30,0,240,0 8 17 25 33 42 50 58 66 75 83 91 100 108 116 125 133 141 150 158 166 175 183 191 199 208 216 224 233 240
