cycle_index,duration_ms,n_samples,n_unique_widths,min_width,max_width,unique_widths
0,14995.866,2171,87,0,179,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179
1,15003.944,2170,87,0,179,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179
2,15165.287,2186,88,0,180,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179 180
3,15002.477,2185,88,0,180,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179 180
4,15000.964,2202,88,0,180,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179 180
5,14998.704,2174,88,0,180,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179 180
6,14997.455,2139,88,0,180,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179 180
7,14997.738,2112,88,0,180,0 2 4 6 9 11 13 15 17 19 21 23 25 27 29 31 33 36 38 40 42 44 46 48 50 52 54 56 58 60 63 65 67 69 71 73 75 77 79 81 83 85 87 90 92 94 96 98 100 102 104 106 108 110 112 115 117 119 121 123 125 127 129 131 133 135 137 139 142 144 146 148 150 152 154 156 158 160 162 164 166 169 171 173 175 177 179 180
