cycle_index,duration_ms,n_samples,n_unique_widths,min_width,max_width,unique_widths
0,9998.913,1487,58,0,178,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178
1,10169.784,1508,59,0,180,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178 180
2,9996.967,1473,59,0,180,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178 180
3,10008.843,1497,59,0,180,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178 180
4,9994.189,1519,59,0,180,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178 180
5,10001.233,1494,59,0,180,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178 180
6,10000.521,1504,59,0,180,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178 180
7,9999.624,1492,59,0,180,0 3 6 10 13 16 19 22 25 28 31 35 38 41 44 47 50 53 56 59 63 66 69 72 75 78 81 84 87 91 94 97 100 103 106 109 112 116 119 122 125 128 131 134 137 140 144 147 150 153 156 159 162 165 169 172 175 178 180
