cycle_index,duration_ms,n_samples,n_unique_widths,min_width,max_width,unique_widths
0,4999.787,1659,29,0,117,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117
1,5000.856,1595,29,0,117,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117
2,5165.052,1636,30,0,120,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117 120
3,4984.429,1561,30,0,120,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117 120
4,4998.704,1623,30,0,120,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117 120
5,5001.283,1620,30,0,120,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117 120
6,4998.446,1640,30,0,120,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117 120
7,4999.979,1633,30,0,120,0 5 9 13 17 21 25 30 34 38 42 46 50 55 59 63 67 71 75 79 84 88 92 96 100 104 109 113 117 120
