cycle_index,duration_ms,n_samples,n_unique_widths,min_width,max_width,unique_widths
0,10179.061,621,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
1,9994.860,638,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
2,9997.957,640,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
3,9994.104,637,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
4,10002.298,620,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
5,10017.041,634,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
6,9995.923,616,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
7,9988.647,579,59,0,240,0 4 8 12 17 21 25 29 33 37 42 46 50 54 58 62 66 71 75 79 83 87 91 96 100 104 108 112 116 120 125 129 133 137 141 145 150 154 158 162 166 170 175 179 183 187 191 195 199 204 208 212 216 220 224 229 233 237 240
